경주일자,경주번호,경주장,경주시간,등급,거리,핸디캡,레이팅범위,연령조건,NO,마명,산지,성별,연령,레이팅,부중,증감,기수,조교사,마주,조교횟수,출전주기,장구현황,특이사항,선행력,선입력,추입력,선행등급,선입등급,추입등급,경주일자_map,경주번호_map,경주장_map,경주시간_map,출전번호,과거_경주일자,과거_출전번호,종류,과거_등급,과거_거리,함수율,빠르기,과거_순위,과거_기수,과거_중량,과거_S-1F,과거_G-3F,과거_G-1F,과거_기록,과거_마체중,과거_레이팅,순번,마번,순위,배당,S1F-1C-2C-3C-4C-G1F,S1F-1C-2C-3C-G3F-4C-G1F,S1F-G8F-G6F-G4F-G3F-G2F-G1F,S-1F,S1F,10-8F,8-6F,6-4F,4-2F,400,1F-G,1코너,2F-G,2코너,3F-G,3코너,G-3F,4코너,G400,G3F,G-1F,G1F,경주기록
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,5,스타밸리,한국,암,3,-,55,1.0,김태훈,심승태,이수길,7,17주,"계란형큰,망사눈",-,72.9,68.8,-22.5,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,5,2025/01/25-1R,4,일,국6등급,1200,3,6,8,정우주,54.0,0:13.7,0:41.2,0:15.1,1:19.1,465(13),-,3.0,4.0,8.0,27.2,,1-   -   - 1- 1- 1- 5,,,0:13.7,,,,,,0:15.1,-,,-,0:41.2,0:25.2,,0:44.1,,0:37.9,,1:04.0,1:19.1
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,5,스타밸리,한국,암,3,-,55,1.0,김태훈,심승태,이수길,7,17주,"계란형큰,망사눈",-,72.9,68.8,-22.5,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,5,2024/12/26-3R,2,주,-,1000,5,-,6,정우주,53.0,0:14.4,0:39.3,0:13.6,1:04.9,452(0),-,4.0,2.0,6.0,-,3-   -   - 3- 3- 5,,,0:14.4,,,,,,,,-,,-,,0:14.4,0:39.3,0:32.1,,,0:13.6,,1:04.9
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,6,남산미녀,한국,암,3,-,55,0.0,김효정,리카디,이기선,12,-,망사눈+,-,75.0,75.0,10.0,B+,B+,A,2025년07월19일(토),제1경주,서울,10:35,6,2025/05/08-4R,4,주,-,1000,9,-,2,정정희,54.0,0:14.0,0:38.2,0:13.1,1:03.2,497(0),-,1.0,4.0,2.0,-,2-   -   - 2- 1- 2,,,0:14.0,,,,,,,,-,,-,,0:14.0,0:38.2,0:31.2,,,0:13.1,,1:03.2
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,7,지산프렌드,한국,암,3,-,55,0.0,코지,안병기,황혜정,6,4주,"망사눈,반가지큰,승인편자+",-,70.2,60.7,-10.4,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,7,2025/06/21-2R,2,일,국6등급,1200,19,4,2,코지,55.0,0:13.7,0:38.7,0:13.6,1:15.3,436(0),-,1.0,2.0,2.0,5.1,,3-   -   - 3- 3- 3- 2,,,0:13.7,,,,,,0:13.6,-,,-,0:38.7,0:24.8,,0:42.8,,0:36.6,,1:01.7,1:15.3
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,7,지산프렌드,한국,암,3,-,55,0.0,코지,안병기,황혜정,6,4주,"망사눈,반가지큰,승인편자+",-,70.2,60.7,-10.4,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,7,2025/05/17-1R,3,일,국6등급,1200,17,6,6,코지,55.0,0:13.7,0:40.1,0:14.3,1:17.0,436(-2),-,2.0,3.0,6.0,6.9,,3-   -   - 6- 5- 5- 5,,,0:13.7,,,,,,0:14.3,-,,-,0:40.1,0:25.0,,0:42.9,,0:36.9,,1:02.7,1:17.0
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,7,지산프렌드,한국,암,3,-,55,0.0,코지,안병기,황혜정,6,4주,"망사눈,반가지큰,승인편자+",-,70.2,60.7,-10.4,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,7,2025/04/20-1R,8,일,국6등급,1200,9,6,5,코지,55.0,0:13.9,0:40.7,0:14.7,1:18.2,438(-4),-,3.0,8.0,5.0,18.1,,5-   -   - 6- 7- 7- 5,,,0:13.9,,,,,,0:14.7,-,,-,0:40.7,0:25.1,,0:43.9,,0:37.5,,1:03.5,1:18.2
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,7,지산프렌드,한국,암,3,-,55,0.0,코지,안병기,황혜정,6,4주,"망사눈,반가지큰,승인편자+",-,70.2,60.7,-10.4,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,7,2025/03/22-1R,7,일,국6등급,1200,5,8,4,코지,54.0,0:13.9,0:41.1,0:15.0,1:18.4,442(12),-,4.0,7.0,4.0,8.2,,4-   -   - 4- 5- 4- 5,,,0:13.9,,,,,,0:15.0,-,,-,0:41.1,0:25.2,,0:43.6,,0:37.3,,1:03.4,1:18.4
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,7,지산프렌드,한국,암,3,-,55,0.0,코지,안병기,황혜정,6,4주,"망사눈,반가지큰,승인편자+",-,70.2,60.7,-10.4,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,7,2025/02/08-2R,10,일,국6등급,1200,5,6,11,푸르칸,54.5,0:14.2,0:43.0,0:16.4,1:21.2,430(-2),-,5.0,10.0,11.0,20.7,,3-   -   - 4- 3- 3- 8,,,0:14.2,,,,,,0:16.4,-,,-,0:43.0,0:25.8,,0:44.5,,0:38.2,,1:04.8,1:21.2
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,7,지산프렌드,한국,암,3,-,55,0.0,코지,안병기,황혜정,6,4주,"망사눈,반가지큰,승인편자+",-,70.2,60.7,-10.4,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,7,2025/01/02-2R,5,주,-,1000,3,-,3,코지,55.0,0:13.8,0:38.4,0:13.5,1:03.5,432(3),-,6.0,5.0,3.0,-,1-   -   - 1- 1- 3,,,0:13.8,,,,,,,,-,,-,,0:13.8,0:38.4,0:31.4,,,0:13.5,,1:03.5
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,7,지산프렌드,한국,암,3,-,55,0.0,코지,안병기,황혜정,6,4주,"망사눈,반가지큰,승인편자+",-,70.2,60.7,-10.4,B+,B,D,2025년07월19일(토),제1경주,서울,10:35,7,2024/12/19-2R,3,주,-,1000,6,-,9,코지,55.0,0:14.7,0:40.0,0:13.7,1:06.5,429(0),-,7.0,3.0,9.0,-,6-   -   - 6- 8- 9,,,0:14.7,,,,,,,,-,,-,,0:14.7,0:40.0,0:33.4,,,0:13.7,,1:06.5
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,8,보스토크,한국,암,3,-,55,0.0,김태희,박윤규,용치우,10,-,"계란형큰+,망사눈",-,62.5,62.5,-15.0,B,B,D,2025년07월19일(토),제1경주,서울,10:35,8,2025/06/19-2R,2,주,-,1000,9,-,2,김태희,53.0,0:14.1,0:38.2,0:13.7,1:03.0,437(-9),-,1.0,2.0,2.0,-,3-   -   - 3- 3- 2,,,0:14.1,,,,,,,,-,,-,,0:14.1,0:38.2,0:31.0,,,0:13.7,,1:03.0
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,8,보스토크,한국,암,3,-,55,0.0,김태희,박윤규,용치우,10,-,"계란형큰+,망사눈",-,62.5,62.5,-15.0,B,B,D,2025년07월19일(토),제1경주,서울,10:35,8,2025/01/16-2R,4,주,-,1000,4,-,6,장추열,55.0,0:15.1,0:41.3,0:15.5,1:07.2,446(0),-,2.0,4.0,6.0,-,6-   -   - 6- 5- 6,,,0:15.1,,,,,,,,-,,-,,0:15.1,0:41.3,0:32.2,,,0:15.5,,1:07.2
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,9,문학댄스,한국(포),암,3,-,55,0.0,조인권,정호익,권경자,11,3주,계란형큰,-,54.2,50.0,-10.0,C,C,D,2025년07월19일(토),제1경주,서울,10:35,9,2025/06/29-2R,8,일,국6등급,1400,9,4,9,해리카심,55.0,0:13.8,0:43.1,0:15.8,1:31.8,529(8),-,1.0,8.0,9.0,38.9,,3-   -   - 2- 2- 3- 6,,,0:13.8,,,,,,0:15.8,-,,-,0:43.1,0:36.6,,0:55.1,,0:48.7,,1:16.0,1:31.8
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,9,문학댄스,한국(포),암,3,-,55,0.0,조인권,정호익,권경자,11,3주,계란형큰,-,54.2,50.0,-10.0,C,C,D,2025년07월19일(토),제1경주,서울,10:35,9,2025/06/15-1R,3,일,국6등급,1200,3,5,4,해리카심,55.0,0:13.7,0:39.8,0:14.3,1:17.0,521(-2),-,2.0,3.0,4.0,21.5,,2-   -   - 3- 2- 2- 3,,,0:13.7,,,,,,0:14.3,-,,-,0:39.8,0:25.0,,0:43.5,,0:37.2,,1:02.7,1:17.0
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,9,문학댄스,한국(포),암,3,-,55,0.0,조인권,정호익,권경자,11,3주,계란형큰,-,54.2,50.0,-10.0,C,C,D,2025년07월19일(토),제1경주,서울,10:35,9,2025/05/31-2R,7,일,국6등급,1200,4,6,10,해리카심,55.0,0:14.1,0:41.1,0:14.9,1:18.9,523(5),-,3.0,7.0,10.0,53.0,,7-   -   - 7- 8- 8- 8,,,0:14.1,,,,,,0:14.9,-,,-,0:41.1,0:25.6,,0:44.2,,0:37.8,,1:04.0,1:18.9
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,9,문학댄스,한국(포),암,3,-,55,0.0,조인권,정호익,권경자,11,3주,계란형큰,-,54.2,50.0,-10.0,C,C,D,2025년07월19일(토),제1경주,서울,10:35,9,2025/05/17-1R,10,일,국6등급,1200,17,6,11,임다빈,55.0,0:14.1,0:41.3,0:15.1,1:18.9,518(-17),-,4.0,10.0,11.0,27.6,,10-   -   - 9- 9- 9- 11,,,0:14.1,,,,,,0:15.1,-,,-,0:41.3,0:25.4,,0:43.7,,0:37.6,,1:03.8,1:18.9
20250719,1,서울,10:35,국6등급,1200M,별정A,일반,R0~0,9,문학댄스,한국(포),암,3,-,55,0.0,조인권,정호익,권경자,11,3주,계란형큰,-,54.2,50.0,-10.0,C,C,D,2025년07월19일(토),제1경주,서울,10:35,9,2025/05/02-4R,7,주,-,1000,13,-,5,임다빈,55.0,0:14.6,0:39.1,0:13.5,1:05.4,523(-12),-,5.0,7.0,5.0,-,7-   -   - 7- 7- 6,,,0:14.6,,,,,,,,-,,-,,0:14.6,0:39.1,0:32.7,,,0:13.5,,1:05.4
